"地域（2020年基準） コード","地域（2020年基準）","時間軸（年・月） コード","時間軸（年・月）","2020年基準品目 コード","2020年基準品目","/表章項目","指数","前月比・前年比・前年度比【%】","前年同月比【%】"
"00044","関東地方","2020000606","2020年6月","0002","0002 食料","","100","-0.4","1.3"
"00044","関東地方","2020000606","2020年6月","0054","0054 光熱・水道","","101.1","-0.1","-1.6"
"00049","北陸地方","2025001212","2025年12月","0001","0001 総合","","112.2","0.0","1.9"
"00049","北陸地方","2025001212","2025年12月","0002","0002 食料","","128.2","0.9","5.3"
"00049","北陸地方","2025001212","2025年12月","0054","0054 光熱・水道","","120.3","0.0","-1.1"
"00049","北陸地方","2025000606","2025年6月","0001","0001 総合","","111.1","-0.2","3.1"
"00049","北陸地方","2025000606","2025年6月","0002","0002 食料","","123.5","-0.3","6.7"
"00049","北陸地方","2025000606","2025年6月","0054","0054 光熱・水道","","123.4","-0.8","4.5"
"00049","北陸地方","2024001212","2024年12月","0001","0001 総合","","110.1","0.6","3.6"
"00049","北陸地方","2024001212","2024年12月","0002","0002 食料","","121.8","1.2","6.4"
"00049","北陸地方","2024001212","2024年12月","0054","0054 光熱・水道","","121.7","4.3","10.6"
"00049","北陸地方","2024000606","2024年6月","0001","0001 総合","","107.8","0.3","2.7"
"00049","北陸地方","2024000606","2024年6月","0002","0002 食料","","115.8","-0.6","3.7"
"00049","北陸地方","2024000606","2024年6月","0054","0054 光熱・水道","","118.1","4.2","5.3"
"00049","北陸地方","2023001212","2023年12月","0001","0001 総合","","106.3","-0.2","2.5"
"00049","北陸地方","2023001212","2023年12月","0002","0002 食料","","114.6","-0.4","6.2"
"00049","北陸地方","2023001212","2023年12月","0054","0054 光熱・水道","","110","-0.3","-8.1"
"00049","北陸地方","2023000606","2023年6月","0001","0001 総合","","104.9","0.6","3.3"
"00049","北陸地方","2023000606","2023年6月","0002","0002 食料","","111.7","-0.2","7.9"
"00049","北陸地方","2023000606","2023年6月","0054","0054 光熱・水道","","112.2","9.4","-0.9"
"00049","北陸地方","2022001212","2022年12月","0001","0001 総合","","103.7","0.3","3.6"
"00049","北陸地方","2022001212","2022年12月","0002","0002 食料","","107.9","0.4","6.9"
"00049","北陸地方","2022001212","2022年12月","0054","0054 光熱・水道","","119.7","2.6","11.1"
"00049","北陸地方","2022000606","2022年6月","0001","0001 総合","","101.6","-0.1","2.3"
"00049","北陸地方","2022000606","2022年6月","0002","0002 食料","","103.5","0.0","3.8"
"00049","北陸地方","2022000606","2022年6月","0054","0054 光熱・水道","","113.2","0.3","11.1"
"00049","北陸地方","2021001212","2021年12月","0001","0001 総合","","100","0.0","0.7"
"00049","北陸地方","2021001212","2021年12月","0002","0002 食料","","100.9","0.5","1.9"
"00049","北陸地方","2021001212","2021年12月","0054","0054 光熱・水道","","107.7","0.7","10.4"
"00049","北陸地方","2021000606","2021年6月","0001","0001 総合","","99.3","0.1","-0.6"
